source_record_id,batch_id,dispatch_ts,zone,priority,response_minutes,temp_c,precip_mm,hospital_id
AMB-9b915819dd1a,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 07:56:06+00:00,Z4,2,21.5,20.5,0.0,H003
AMB-e269c394ba3e,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 07:30:10+00:00,Z1,1,5.4,20.5,0.0,H005
AMB-6fb30213db3d,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 08:45:53+00:00,Z5,1,18.8,22.5,0.0,H003
AMB-ca4264466a67,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 09:44:12+00:00,Z6,2,17.8,24.4,0.0,H001
AMB-9959d8ab20da,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 09:07:23+00:00,Z3,2,9.7,24.4,0.0,H002
AMB-e53bd721daac,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 09:38:02+00:00,Z4,3,4.9,24.4,0.0,H004
AMB-937ad05badd0,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 10:15:07+00:00,Z8,1,6.0,25.9,0.0,H003
AMB-3da794a777c3,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 10:45:17+00:00,Z6,2,12.2,25.9,0.0,H004
AMB-22052f5b396a,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 10:11:39+00:00,Z6,3,3.7,25.9,0.0,H003
AMB-ba14707d5052,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 11:08:12+00:00,Z2,2,2.7,27.3,0.0,H003
AMB-bb708b87e7b4,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 13:47:04+00:00,Z1,2,3.1,29.2,0.0,H004
AMB-597a1dc1ae44,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 14:22:19+00:00,Z1,1,4.0,29.9,0.0,H002
AMB-caf1c56e1dd8,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 15:53:04+00:00,Z4,2,5.4,30.0,0.0,H001
AMB-c7f4a47233c8,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 16:51:18+00:00,Z5,3,10.6,29.8,0.0,H005
AMB-c10bde705bf7,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 17:42:05+00:00,Z4,2,6.3,29.2,0.0,H001
AMB-6ec7972513de,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 18:29:04+00:00,Z1,2,8.9,28.5,0.0,H004
AMB-93846f25d536,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 19:25:10+00:00,Z8,1,6.0,27.2,0.0,H004
AMB-1c9ce1c6d6de,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 19:10:40+00:00,Z8,1,9.8,27.2,0.0,H002
AMB-6d581b9c368d,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 20:33:36+00:00,Z1,3,9.1,25.5,0.0,H001
AMB-f670717cec61,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 20:27:02+00:00,Z7,2,14.6,25.5,0.0,H004
AMB-6e6f57f052cf,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 20:18:46+00:00,Z8,1,8.8,25.5,0.0,H003
AMB-495356d8184f,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 20:34:04+00:00,Z3,2,5.7,25.5,0.0,H005
AMB-44bc31b447cf,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 21:39:26+00:00,Z3,2,5.6,24.0,0.0,H005
AMB-456562258dfb,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 21:10:23+00:00,Z8,3,20.6,24.0,0.0,H001
AMB-3daadb935f93,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 22:19:56+00:00,Z2,1,2.8,22.5,0.0,H004
AMB-c320c70152ee,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 22:29:14+00:00,Z8,2,5.0,22.5,0.0,H005
AMB-c2a85c230d53,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 22:21:30+00:00,Z2,2,20.8,22.5,0.0,H001
AMB-2312dff9b0a9,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 22:24:26+00:00,Z8,3,13.0,22.5,0.0,H001
AMB-888f95f02d7b,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 23:24:09+00:00,Z6,2,16.7,21.3,0.0,H004
AMB-9e674daff3ee,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 23:45:10+00:00,Z5,1,3.2,21.3,0.0,H002
AMB-c7a506f7e2bd,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 23:31:59+00:00,Z6,3,10.6,21.3,0.0,H003
AMB-c018a3182160,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-14 23:23:49+00:00,Z5,2,5.1,21.3,0.0,H005
AMB-9e165edbf96e,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 00:27:23+00:00,Z8,2,17.6,20.1,0.0,H004
AMB-0d9529bba77c,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 00:18:46+00:00,Z3,2,18.5,20.1,0.0,H002
AMB-8b1568a3a49e,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 00:17:12+00:00,Z7,2,11.5,20.1,0.0,H003
AMB-f28c9d4ca023,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 00:09:09+00:00,Z8,1,7.9,20.1,0.0,H003
AMB-b51f08f6fd41,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 00:22:00+00:00,Z7,3,16.6,20.1,0.0,H005
AMB-42efb9685023,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 02:31:47+00:00,Z3,3,6.2,18.1,0.0,H001
AMB-524a4703c916,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 02:34:29+00:00,Z2,1,3.1,18.1,0.0,H004
AMB-ff2308a05d2b,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 03:35:36+00:00,Z1,2,8.6,17.6,0.0,H004
AMB-c96d051af30c,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 04:24:38+00:00,Z3,1,1.5,17.8,0.0,H002
AMB-477688a11b11,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 04:45:24+00:00,Z8,2,14.2,17.8,0.0,H001
AMB-2abe5d2170db,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 05:42:23+00:00,Z8,2,13.9,18.8,0.0,H001
AMB-e257109708e1,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 05:12:40+00:00,Z8,2,8.1,18.8,0.0,H005
AMB-be2b6655b5ab,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 06:27:38+00:00,Z7,2,8.9,20.5,0.0,H005
AMB-fc3e3bf78b40,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 06:38:19+00:00,Z5,1,7.8,20.5,0.0,H004
AMB-ee4bb295feb5,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 06:33:28+00:00,Z3,3,13.4,20.5,0.0,H001
AMB-62eab77b25cf,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 06:04:55+00:00,Z5,2,10.5,20.5,0.0,H003
AMB-ba7dd51d63ab,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 06:48:24+00:00,Z3,3,21.2,20.5,0.0,H002
AMB-e375f31da149,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 07:42:02+00:00,Z4,2,11.9,22.8,0.0,H001
AMB-f2a325e4c62c,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 07:52:28+00:00,Z2,2,7.3,22.8,0.0,H004
AMB-0c42c7fe1a78,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 08:52:18+00:00,Z5,3,9.5,25.2,0.0,H004
AMB-ba6f35ed1755,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 09:16:58+00:00,Z8,3,10.1,27.7,0.0,H004
AMB-763ae7432d2c,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 10:41:07+00:00,Z3,1,6.1,29.9,0.0,H003
AMB-7ad92eca585e,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 11:41:58+00:00,Z1,3,15.9,31.6,0.0,H004
AMB-112c2d0a8a7c,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 11:29:14+00:00,Z2,3,19.9,31.6,0.0,H004
AMB-36d323de3a1a,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 11:49:11+00:00,Z4,3,26.6,31.6,0.0,H001
AMB-e7e99620d6b9,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 12:55:28+00:00,Z5,1,3.9,32.8,0.0,H005
AMB-2c768ef3280b,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 12:44:32+00:00,Z6,2,11.5,32.8,0.0,H004
AMB-6340f61e7408,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 12:41:31+00:00,Z1,3,16.7,32.8,0.0,H003
AMB-2968340e58e3,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 12:22:13+00:00,Z5,2,7.3,32.8,0.0,H004
AMB-aea65366f7a2,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 12:19:52+00:00,Z6,3,5.3,32.8,0.0,H001
AMB-1feeb6018182,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 12:43:19+00:00,Z3,3,19.7,32.8,0.0,H002
AMB-f1ccace938ef,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 12:57:08+00:00,Z8,1,6.9,32.8,0.0,H003
AMB-378cf2be897c,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 13:39:53+00:00,Z4,2,21.0,32.6,0.0,H001
AMB-b9b7abb87552,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 13:56:08+00:00,Z8,1,9.6,32.6,0.0,H003
AMB-b79b7d769684,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 13:58:56+00:00,Z4,1,20.3,32.6,0.0,H005
AMB-84b00242febf,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 13:25:58+00:00,Z8,2,14.5,32.6,0.0,H005
AMB-1996bc42fa83,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 13:44:01+00:00,Z1,1,5.2,32.6,0.0,H001
AMB-d564b545d747,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 14:27:03+00:00,Z3,2,12.3,32.4,0.0,H005
AMB-deffb2a8197d,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 14:07:15+00:00,Z4,3,35.3,32.4,0.0,H005
AMB-867a26493d9f,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 15:07:23+00:00,Z8,1,5.2,31.8,0.0,H001
AMB-6d46a8283125,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 15:56:51+00:00,Z4,3,15.2,31.8,0.0,H005
AMB-aea87c7802ae,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 15:29:43+00:00,Z7,2,14.3,31.8,0.0,H001
AMB-9217cb123784,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 17:57:10+00:00,Z7,1,3.7,24.5,0.0,H003
AMB-6d9341094ee4,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 17:11:36+00:00,Z5,1,2.6,24.5,0.0,H001
AMB-ffdec57f86ed,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 17:05:02+00:00,Z2,1,17.0,24.5,0.0,H004
AMB-a18604cc26ec,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 17:52:13+00:00,Z8,2,3.3,24.5,0.0,H001
AMB-41c8e12c3a2a,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 17:23:51+00:00,Z2,3,14.1,24.5,0.0,H003
AMB-93433917e86f,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 18:27:53+00:00,Z6,3,20.4,22.5,0.5,H002
AMB-3b87f7b6fdce,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 18:22:23+00:00,Z8,3,8.0,22.5,0.5,H003
AMB-def1a9e5b894,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 19:09:00+00:00,Z4,1,5.6,21.0,0.3,H004
AMB-ad3efc73bac4,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 19:19:06+00:00,Z2,2,10.0,21.0,0.3,H002
AMB-67e273fe6d20,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 19:22:18+00:00,Z2,2,7.8,21.0,0.3,H005
AMB-c64edefb242e,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 20:24:03+00:00,Z1,3,7.8,19.9,0.7,H001
AMB-58ce18e79bfa,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 20:42:15+00:00,Z7,2,7.2,19.9,0.7,H004
AMB-a4d5ede5eb0f,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 22:19:05+00:00,Z4,3,31.0,17.4,0.0,H004
AMB-cc2a32184478,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 22:53:13+00:00,Z6,2,36.0,17.4,0.0,H004
AMB-97f2c9c6b6b1,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 23:18:14+00:00,Z6,1,8.6,17.1,0.0,H005
AMB-77b640f0a18c,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 23:21:04+00:00,Z5,3,14.3,17.1,0.0,H002
AMB-65945a9e4674,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 23:39:05+00:00,Z1,3,10.5,17.1,0.0,H005
AMB-350b3962f1ac,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-15 23:02:01+00:00,Z8,1,7.0,17.1,0.0,H005
AMB-dc92cc59a2eb,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 00:23:22+00:00,Z1,2,5.8,17.0,0.0,H004
AMB-dcec4006c5bb,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 00:45:13+00:00,Z5,2,5.5,17.0,0.0,H005
AMB-7081accb7097,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 01:47:11+00:00,Z5,2,2.7,16.9,0.0,H004
AMB-0a7268205518,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 01:11:54+00:00,Z3,1,7.1,16.9,0.0,H005
AMB-ba445d288a3d,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 01:07:08+00:00,Z5,2,9.1,16.9,0.0,H004
AMB-264e7b47b021,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 01:56:29+00:00,Z1,3,7.7,16.9,0.0,H003
AMB-f4aae5aa4ab6,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 01:15:23+00:00,Z3,2,17.6,16.9,0.0,H001
AMB-ea8bbf2da2b3,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 01:57:01+00:00,Z6,2,8.9,16.9,0.0,H003
AMB-b319d3d86c00,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 01:59:28+00:00,Z4,1,14.4,16.9,0.0,H005
AMB-78260e4eee19,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 02:35:28+00:00,Z5,2,10.0,16.7,0.0,H003
AMB-b3d785f3a32b,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 03:58:26+00:00,Z2,3,15.8,16.5,0.0,H004
AMB-94e553c1572b,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 03:15:53+00:00,Z2,3,29.6,16.5,0.0,H003
AMB-644af178a40b,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 05:55:34+00:00,Z2,2,4.9,16.3,0.0,H003
AMB-17d8717a773b,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 05:25:22+00:00,Z6,2,8.3,16.3,0.0,H002
AMB-c3d2e169a633,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 05:46:20+00:00,Z3,3,18.5,16.3,0.0,H001
AMB-2aeff519518e,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 07:34:37+00:00,Z5,2,8.7,16.4,0.0,H001
AMB-5bcbafaa06d5,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 07:02:19+00:00,Z2,2,5.6,16.4,0.0,H002
AMB-dc301ccda5eb,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 08:40:33+00:00,Z6,2,10.2,18.1,0.0,H004
AMB-acae0bb88cd3,f6b8f44f-c3c0-4e76-9345-22f523f19033,2025-06-16 08:35:11+00:00,Z7,2,5.0,18.1,0.0,H002
